d_antenna_zoom1,s1_spacing,R,z_R,z_new,w_new,w0_new
0.2,0.6745454545454546,0.5692114102067833,0.1937251495621744,0.07948892265309805,16.97604692817965,15.705366001220547
0.2,0.6875757575757576,0.5730021739916072,0.19623166401087863,0.07521273045824733,16.927929257915594,15.806641469579631
0.2,0.7006060606060607,0.5767946165092549,0.1987438607219954,0.07082834762058572,16.8874928208364,15.907499575501552
0.2,0.7136363636363636,0.580587898739967,0.2012604765491962,0.06633500286159755,16.85499153307936,16.00789797364665
0.2,0.7266666666666667,0.5843811489129579,0.20378020154999105,0.06173198235104295,16.83067183681334,16.107793487860164
0.2,0.7396969696969697,0.5881734616120928,0.20630167921156486,0.05701863277603731,16.814771447496213,16.2071421329435
0.2,0.7527272727272728,0.5919638968697685,0.20882350679677614,0.05219436443369915,16.807518117390515,16.30589913877574
0.2,0.7657575757575759,0.5957514792497345,0.21134423581582132,0.04725865434001561,16.80912843292736,16.404018976840316
0.2,0.7787878787878788,0.5995351969196657,0.21386237262887503,0.04221104934704862,16.819806663934592,16.50145538920645
0.2,0.7918181818181819,0.6033140007143886,0.21637637918479102,0.03705116926008528,16.83974368270366,16.598161420009333
0.2,0.8048484848484849,0.6070868031907656,0.21888467390067334,0.03177870994582407,16.869115970327467,16.694089449466773
0.2,0.8178787878787879,0.6108524776753242,0.2213856326868069,0.02639344642217792,16.908084726685278,16.789191230463008
0.2,0.8309090909090909,0.6146098573058328,0.22387759012107636,0.020895235919790603,16.956795098891753,16.883417927723183
0.2,0.843939393939394,0.618357734068135,0.2263588407765843,0.015284020904883388,17.01537554099938,16.976720159593764
0.2,0.856969696969697,0.6220948578296647,0.22882764070572703,0.009559832052601417,17.083937315304613,17.069048042435796
0.2,0.8700000000000001,0.6258199353711824,0.2312822090834727,0.003722791159601034,17.162574142837588,17.16035123762866
0.2,0.883030303030303,0.6295316294184143,0.2337207300120328,-0.0022268860157693233,17.251362007609284,17.25057900117241
0.2,0.8960606060606061,0.6332285576753891,0.23614135448851703,-0.008288886997704399,17.350359116056463,17.339680235866638
0.2,0.9090909090909092,0.6369092918614281,0.23854220253650862,-0.014462799933912928,17.45960600997903,17.427603546033147
0.2,0.9221212121212121,0.6405723567538644,0.24092136550180265,-0.02074811104591652,17.579125828219187,17.51429729473863
0.2,0.9351515151515152,0.6442162292387513,0.24327690851181763,-0.027144202201484734,17.708924709495058,17.599709663462193
0.2,0.9481818181818182,0.6478393373719424,0.24560687309740356,-0.033650348622172914,17.848992326266487,17.683788714140558
0.2,0.9612121212121213,0.6514400594531123,0.24790927997496023,-0.04026571673903486,17.999302537354783,17.766482453511735
0.2,0.9742424242424244,0.6550167231154581,0.25018213198592754,-0.04698936220960935,18.15981414531713,17.847738899665547
0.2,0.9872727272727273,0.6585676044339785,0.25242341718982975,-0.053820228109247255,18.330471743323372,17.927506150696836
0.2,1.0003030303030302,0.6620909270554329,0.25463111210615025,-0.060757143309731615,18.51120663550892,18.005732455344408
0.2,1.0133333333333334,0.6655848613532458,0.25680318509938627,-0.06779882105795537,18.70193781447184,18.082366285486042
0.2,1.0263636363636364,0.6690475236108369,0.25893759990069665,-0.07494385776714696,18.90257297971507,18.15735641034726
0.2,1.0393939393939395,0.6724769752370428,0.2610323192586064,-0.08219073203278235,19.113009581361798,18.230651972268895
0.2,1.0524242424242425,0.6758712220174906,0.2630853087102806,-0.08953780388487018,19.3331358743361,18.302202563866114
0.2,1.0654545454545454,0.6792282134060104,0.26509454046393655,-0.096983314287777,19.56283196933979,18.371958306399453
0.2,1.0784848484848486,0.6825458418603647,0.2670579973820365,-0.10452538489812536,19.801970868301947,18.439869929166758
0.2,1.0915151515151515,0.6858219422267906,0.26897367705398706,-0.11216201809059319,20.050419473464753,18.50588884971379
0.2,1.1045454545454547,0.6890542911780728,0.2708395959461937,-0.11989109726064295,20.308039560834874,18.569967254650372
0.2,1.1175757575757577,0.6922406067100701,0.27265379361647657,-0.12771038741231303,20.57468871031688,18.632058180849416
0.2,1.1306060606060606,0.6953785477018388,0.2744143369790485,-0.13561753603823687,20.85022118640559,18.69211559679656
0.2,1.1436363636363638,0.6984657135447192,0.2761193246055196,-0.14361007429799189,21.134488764806243,18.75009448385027
0.2,1.1566666666666667,0.7014996438459595,0.27776689104670405,-0.15168541849974895,21.427341501744326,18.80595091716468
0.2,1.1696969696969697,0.7044778182126579,0.2793552111593922,-0.1598408718889775,21.72862844399652,18.85964214602122
0.2,1.1827272727272728,0.7073976561220274,0.28088250442171975,-0.16807362674669157,22.038198278806703,18.911126673310154
0.2,1.1957575757575758,0.7102565168841797,0.2823470392203093,-0.17638076679837408,22.35589992383715,18.960364333898962
0.2,1.2087878787878787,0.7130516997038145,0.2837471370920075,-0.18475926993333455,22.681583058144746,19.007316371622096
0.2,1.221818181818182,0.7157804438474031,0.2850811769027755,-0.19320601123281023,23.015098595866647,19.051945514625384
0.2,1.2348484848484849,0.7184399289226231,0.2863475989461383,-0.20171776630365187,23.356299104858323,19.09421604879834
0.2,1.247878787878788,0.721027275276954,0.2875449089435461,-0.21029121491293942,23.705039172958124,19.134093889029458
0.2,1.260909090909091,0.7235395445225166,0.28867168192907106,-0.218922944917351,24.0611757248683,19.171546648022534
0.2,1.273939393939394,0.7259737401943507,0.28972656600103563,-0.22760945647960418,24.424568292856925,19.20654370241665
0.2,1.286969696969697,0.7283268085494441,0.29070828592347253,-0.23634716656276125,24.795079244609557,19.23905625595865
0.2,1.3,0.7305956395139279,0.29161564656072714,-0.24513241369171457,25.172573971609346,19.269057399484552
0.3,0.01,0.42396278802215887,0.11671070612142233,0.17964632156041707,22.37579963975994,12.190188116996355
0.3,0.023030303030303033,0.42738757354882156,0.11859783724743733,0.17893486592902194,22.24270871469553,12.288346361634751
0.3,0.036060606060606064,0.43083279635397054,0.1205123931316405,0.1781689252135438,22.109390208689717,12.387136253625165
0.3,0.049090909090909095,0.4342984612869941,0.12245451055776214,0.17734725553705338,21.975928343530526,12.486549774590747
0.3,0.062121212121212126,0.43778456699222956,0.124424311819105,0.17646859664034956,21.842410438469354,12.58657833307143
0.3,0.07515151515151515,0.44129110563453566,0.1264219038407847,0.17553167222430885,21.708927009381593,12.687212747124295
0.3,0.08818181818181818,0.4448180626153213,0.12844737727497232,0.1745351903331409,21.575571868061584,12.788443226757956
0.3,0.10121212121212121,0.4483654162787466,0.13050080556933075,0.1734778437805637,21.442442221178815,12.890259356221918
0.3,0.11424242424242424,0.45193313760780995,0.13258224400893456,0.17235831062095616,21.3096387683564,12.992650076173918
0.3,0.1272727272727273,0.45552118991003043,0.13469172873206278,0.17117525466759248,21.177265798762846,13.095603665749953
0.3,0.14030303030303032,0.45912952849242883,0.13682927572036782,0.1699273260600894,21.045431285530597,13.199107724563929
0.3,0.15333333333333335,0.46275810032550335,0.1389948797640396,0.16861316188324027,20.91424697723444,13.303149154665764
0.3,0.16636363636363638,0.4664068436958916,0.1411885134027114,0.1672313868394302,20.783828485575146,13.407714142489118
0.3,0.1793939393939394,0.4700756878474103,0.1434101258429886,0.1657806139768532,20.654295368322583,13.512788140821982
0.3,0.19242424242424244,0.47376455261015427,0.14565964185362418,0.16425944547576532,20.52577120647623,13.61835585083586
0.3,0.20545454545454547,0.4774733480173339,0.14793696063951672,0.16266647349501864,20.398383674501396,13.724401204211496
0.3,0.2184848484848485,0.4812019739095278,0.15024195469586524,0.16100028108112185,20.27226460239686,13.830907345401616
0.3,0.23151515151515153,0.48495031952602063,0.1525744686439851,0.15925944314206414,20.147550028245227,13.937856614073663
0.3,0.24454545454545457,0.4887182630829041,0.1549343180504667,0.15744252748812734,20.024380239793068,14.045230527778074
0.3,0.25757575757575757,0.49250567133758916,0.15732128823153996,0.15554809594187843,19.902899803504543,14.153009764890125
0.3,0.2706060606060606,0.4963123991394153,0.15973513304470757,0.1535747055195042,19.78325757943318,14.261174147876257
0.3,0.2836363636363637,0.500138288966009,0.16217557366990754,0.15152090968559512,19.665606720162817,14.369702626938281
0.3,0.2966666666666667,0.5039831704450477,0.16464229738267266,0.14938525968342536,19.55010465198435,14.478573264091507
